"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
Iridium 53 (Iridium SV053),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,779,2.80E-04,86.3,100.38,689,556,"1,400 (EOL)",2/18/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-010E,25173,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 54 (Iridium SV054),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,690,695,3.54E-04,86.5,98.61,689,556,"1,400 (EOL)",2/18/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-010C,25171,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 55 (Iridium SV055),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,774,780,4.20E-04,86.3,100.38,689,556,"1,400 (EOL)",3/30/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-019A,25272,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 56 (Iridium SV056),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,780,3.50E-04,86.3,100.4,689,556,"1,400 (EOL)",2/18/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-010B,25170,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 57 (Iridium SV057),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,779,2.80E-04,86.4,100.38,689,556,"1,400 (EOL)",3/30/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-019B,25273,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 58 (Iridium SV058),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.3,100.38,689,556,"1,400 (EOL)",3/30/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-019C,25274,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 59 (Iridium SV059),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,780,3.50E-04,86.3,100.4,689,556,"1,400 (EOL)",3/30/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-019D,25275,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 6 (Iridium SV006),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,773,782,6.30E-04,86.4,100.4,689,556,"1,400 (EOL)",5/6/1997,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1997-020C,24794,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 60 (Iridium SV060),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,773,781,5.60E-04,86.3,100.38,689,556,"1,400 (EOL)",3/30/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-019E,25276,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 61 (Iridium SV061),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,693,696,2.12E-04,86.5,98.65,689,556,"1,400 (EOL)",3/25/1998,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021A,25285,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 63 (Iridium SV063),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,780,3.50E-04,86.3,100.4,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021B,25286,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,779,2.80E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021C,25287,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021D,25288,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,772,782,7.00E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021E,25289,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 67 (Iridium SV067),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,773,781,5.60E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021F,25290,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 68 (Iridium SV068),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,779,2.80E-04,86.4,100.38,689,556,"1,400 (EOL)",4/7/1998,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton-K,1998-021G,25291,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 7 (Iridium SV007),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,773,782,6.30E-04,86.4,100.4,689,556,"1,400 (EOL)",5/5/1997,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1997-020B,24793,,,JMSatcat,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 70 (Iridium SV070),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,779,2.10E-04,86.3,100.4,689,556,"1,400 (EOL)",5/17/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-032A,25342,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx535.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 72 (Iridium SV072),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.4,100.38,689,556,"1,400 (EOL)",5/17/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-032B,25343,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx535.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 74 (Iridium SV074),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,779,2.10E-04,86.3,100.4,689,556,"1,400 (EOL)",5/17/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-032D,25345,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx535.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 75 (Iridium SV075),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,692,695,2.12E-04,86.5,98.63,689,556,"1,400 (EOL)",5/17/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-032E,25346,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx535.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 76 (Iridium SV076),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,775,779,2.80E-04,86.3,100.38,689,556,"1,400 (EOL)",8/19/1998,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048B,25432,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 77 (Iridium SV077),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,704,708,2.83E-04,86.5,98.89,689,556,"1,400 (EOL)",9/8/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-051E,25471,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 8 (Iridium SV008),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,774,780,4.20E-04,86.4,100.38,689,556,"1,400 (EOL)",5/5/1997,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1997-020A,24792,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 80 (Iridium SV080),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.4,100.38,689,556,"1,400 (EOL)",9/8/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-051C,25469,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 81 (Iridium SV081),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,778,1.40E-04,86.4,100.38,689,556,"1,400 (EOL)",9/8/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-051B,25468,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 82 (Iridium SV082),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,704,708,2.83E-04,86.5,98.89,689,556,"1,400 (EOL)",9/8/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-051A,25467,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 83 (Iridium SV083),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,776,779,2.10E-04,86.3,100.4,689,556,"1,400 (EOL)",11/6/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-066E,25531,,,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx541.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 84 (Iridium SV084),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,701,705,2.83E-04,86.5,98.83,689,556,"1,400 (EOL)",11/6/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-066D,25530,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,samadhi.jpl.nasa.gov,http://members.ozemail.com/au/~lbrash/satellites/iridium.html,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx541.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 86 (Iridium SV086),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,744,752,5.62E-04,86.5,98.85,689,556,"1,400 (EOL)",11/6/1998,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II 7920,1998-066B,25528,Operational,,JMSatcat304,samadhi.jpl.nasa.gov,www.rod.sladen.org.uk/iridium.htm,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx541.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 90 (Iridium SV090),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,97.44,689,556,"1,400 (EOL)",2/11/2002,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II,2002-005A,27372,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html    ,www.spaceandtech.com/spacedata/logs/2002/2002-005A_iridium90_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx580.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 91 (Iridium SV091),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,97.4,689,556,"1,400 (EOL)",2/11/2002,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II,2002-005B,27373,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html,www.spaceandtech.com/spacedata/logs/2002/2002-005A_iridium91_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx580.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 94 (Iridium SV094),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,97.82,689,556,"1,400 (EOL)",2/11/2002,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II,2002-005C,27374,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html,www.spaceandtech.com/spacedata/logs/2002/2002-005C_iridium94_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx580.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 95 (Iridium SV095),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,98.19,689,556,"1,400 (EOL)",2/11/2002,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II,2002-005D,27375,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html,www.spaceandtech.com/spacedata/logs/2002/2002-005D_iridium95_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx580.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 96 (Iridium SV096),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,97.39,689,556,"1,400 (EOL)",2/11/2002,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta II,2002-005E,27376,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html,www.spaceandtech.com/spacedata/logs/2002/2002-005E_iridium96_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx580.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
Iridium 97 (Iridium SV097),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,670,673,2.13E-04,86.5,98.02,689,556,"1,400 (EOL)",6/20/2002,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031A,27450,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",,JMSatcat304,www.ssc.se/ssd/launches.html     www.iridium.com/corp,www.spaceandtech.com/spacedata/logs/2002/2002-031A_iridium97_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx584.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
