Launch_Tag	Launch_Date	Piece	Type	Name	PLName	JCAT	SatOwner	SatState	LV_Type	Flight_ID	Platform	Launch_Site	Launch_Pad	Ascent_Site	Ascent_Pad	Agency	LVState	Launch_Code	LTCite
1974-075 	1974 Oct 10 2253:00	1974-075A	P           	Westar 2	Westar 2	S07466	WUTC	US	Delta 2914	589/D103	-	CC	LC17B	-	-	GSFC	US	OS	TR-1022
1974-076 	1974 Oct 11 1129:59	1974-076A	P           	Kosmos-687	Taifun-1A No. 2L	S07469	PVO	SU	Kosmos 11K65M	53721-251 (225?)	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15/RAEX
1974-077 	1974 Oct 15 0747:00	1974-077A	P           	Ariel 5	UK 5	S07471	SRC	UK	Scout B-1	S187C	-	SMLC	-	-	-	CRA	I	OS	LAAFB
1974-078 	1974 Oct 18 1500	1974-078A	P           	Kosmos-688	Germes No. 24L (?)	S07473	GUKOSR	SU	Voskhod 11A57	77019  -754	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-079 	1974 Oct 18 2236:15	1974-079A	P           	Kosmos-689	Zaliv No. 32L (No. 7)	S07476	VMF	SU	Kosmos 11K65M	53753-207	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15/RAEX
1974-080 	1974 Oct 22 1759:59	1974-080A	P           	Kosmos-690	Bion No. 2L	S07478	IMBP/TSSKB	SU	Soyuz-U	K 15000-010	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	AK15/NK96-26-34
1974-081 	1974 Oct 24 1238:41	1974-081A	P           	Molniya-1	Molniya-1 No. 24L	S07480	GUKOSR	SU	Molniya 8K78M	78033  -528	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-082 	1974 Oct 25 0930:01	1974-082A	P           	Kosmos-691	Germes No. 43L	S07483	GUKOSR	SU	Soyuz-U	K 15000-012	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1974-083 	1974 Oct 28 1017:00	1974-083A	P           	Meteor	Meteor (M) No. 33L	S07490	GUKOSR/GMS	SU	Vostok 8A92M	77019  -352	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	PL-WWW
1974-084 	1974 Oct 28 1430:32	1974-084A	P   D       	Luna-23 KT	E-8-5M No. 410	S07491	IKI/BABTS	SU	Proton-K/D	285-01	-	NIIP-5	LC81/24	-	-	RVSN	SU	DS	NK9810-25
1974-084 	1974 Oct 28 1430:32	1974-084	PX-SD--     	Luna-23 VA	VA	A02496	MOM	SU	Proton-K/D	285-01	-	NIIP-5	LC81/24	-	-	RVSN	SU	DS	NK9810-25
1974-085 	1974 Oct 29 1930:00	1974-085A	P           	OPS 7122	HEXAGON SV-9	S07495	NRO/SAFSP	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085B	P           	RAQUEL I	P-11 No. 4429	S07498	NRO/SAFSP	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085C	P           	S3-1	STP S73-5	S07499	SAMSO	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085	PX-RT--     	SRV Mission 1209-1	SRV-1 S/N 37	A02505	NRO	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085	PX-RT--     	SRV Mission 1209-2	SRV-2 S/N 38	A02516	NRO	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085	PX-RT--     	SRV 1805	SRV Mission 1209-5	A02520	NRO/USDMA	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085	PX-RT--     	SRV Mission 1209-3	SRV-3 S/N 39	A02524	NRO	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-085 	1974 Oct 29 1930:00	1974-085	PX-RT--     	SRV Mission 1209-4	SRV-4 S/N 40	A02531	NRO	US	Titan IIID	23D-4	-	VS	SLC4E	-	-	SAMSO	US	OS	Wire
1974-086 	1974 Oct 31 1000	1974-086A	P           	Interkosmos-12	DS-U2-IK No. 4 (Ion)	S07500	IK	SU	Kosmos 11K65M	53721-253	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AVMDS
1974-087 	1974 Nov  1 1420	1974-087A	P           	Kosmos-692	Gektor No. 49L	S07502	GUKOSR	SU	Voskhod 11A57	78031  -179	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	AK15/RAEX
1974-087 	1974 Nov  1 1420	1974-087	PX-S---     	Kapsula Kosmosa-692	FEU-170-13 No. 4L	A02498	MOM	SU	Voskhod 11A57	78031  -179	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	AK15/RAEX
1974-088 	1974 Nov  4 1040	1974-088A	P           	Kosmos-693	Orion No. 7L	S07509	TSSKB	SU	Soyuz 11A511M	76029  -836	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-F07  	1974 Nov  5 0940	1974-F07	P   F X     	Fanhui Shi Weixing (00)	FSW No. 1	F00727	JGB7	CN	Chang Zheng 2	CZ2-1    (3)	-	JQ	LA2B	-	-	CALT	CN	OF	LissovC
1974-F07  	1974 Nov  5 0940	1974-F07	P   F       	FSW RV	FSW RV	F00728	JGB7	CN	Chang Zheng 2	CZ2-1    (3)	-	JQ	LA2B	-	-	CALT	CN	OF	LissovC
1974-089 	1974 Nov 15 1711:00	1974-089A	P           	NOAA 4	ITOS G	S07529	NOAA	US	Delta 2310	592/D104	-	V	SLC2W	-	-	GSFC	US	OS	TR-1022
1974-089 	1974 Nov 15 1711:00	1974-089B	P           	AMSAT-OSCAR-7	OSCAR 7	S07530	AMNA	US	Delta 2310	592/D104	-	V	SLC2W	-	-	GSFC	US	OS	TR-1022
1974-089 	1974 Nov 15 1711:00	1974-089C	P           	Intasat	Intasat	S07531	INTA	E	Delta 2310	592/D104	-	V	SLC2W	-	-	GSFC	US	OS	TR-1022
1974-090 	1974 Nov 16 1145	1974-090A	P           	Kosmos-694	Germes No. 33L	S07533	GUKOSR	SU	Voskhod 11A57	76029  -763	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	AK15/RAEX
1974-091 	1974 Nov 20 1159:58	1974-091A	P           	Kosmos-695	DS-P1-Yu No. 73L	S07538	PVO	SU	Kosmos 11K63	45753-168	-	NIIP-53	LC133/3	-	-	RVSN	SU	OS	AVMDS
1974-092 	1974 Nov 21 1033:01	1974-092A	P           	Molniya-3	Molniya-3 No. 11L	S07540	OKB10/MSVYAZ	SU	Molniya 8K78M	78031  -572	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	NK9815-26
1974-093 	1974 Nov 21 2343:59	1974-093A	P      M    	INTELSAT IV F8	INTELSAT IV F8	S07544	INTEL	I-INT	Atlas SLV-3D Centaur	AC-32	-	CC	LC36B	-	-	LERC	US	OS	TR-1022
1974-094 	1974 Nov 23 0028:01	1974-094A	P           	Skynet IIB	Skynet IIB	S07547	MOD	UK	Delta 2313	591/D105	-	CC	LC17B	-	-	GSFC	US	OS	TR-1022
1974-095 	1974 Nov 27 1144:59	1974-095A	P           	Kosmos-696	Gektor No. 57L	S07551	GUKOSR	SU	Voskhod 11A57	78031  -197	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	AK15/RAEX
1974-096 	1974 Dec  2 0940:00	1974-096A	PH H        	Soyuz-16	Soyuz 7K-TM No. 73-EPSA	S07561	NPOE	SU	Soyuz-U	K 15000-014	-	NIIP-5	LC1	-	-	RVSN	SU	OS	NK0204-71
1974-097 	1974 Dec 10 0711:02	1974-097A	P   D       	Helios 1	Helios 1	S07567	DFVLR	D	Titan IIIE	23E-2/TC-2	-	CC	LC41	-	-	LERC/SAMSO	US	DS	TR-1022
1974-098 	1974 Dec 13 1330	1974-098A	P           	Kosmos-697	Yantar'-2K No. 2L	S07571	TSSKB	SU	Soyuz-U	A 15000-003	-	NIIP-53	LC43/3	-	-	RVSN	SU	OS	NK9718-91
1974-099 	1974 Dec 17 1145:00	1974-099A	P           	Meteor	Meteor (M) No. 32L	S07574	GUKOSR/GMS	SU	Vostok 8A92M	77019  -353	-	NIIP-53	LC43/4	-	-	RVSN	SU	OS	PL-WWW
1974-100 	1974 Dec 18 1411:59	1974-100A	P           	Kosmos-698	Tselina-OM	S07576	GRU	SU	Kosmos 11K65M	53721-256	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-101 	1974 Dec 19 0239:00	1974-101A	P           	Symphonie 1	Symphonie MV1	S07578	DFVLR/CNES	D	Delta 2914	599/D106	-	CC	LC17B	-	-	GSFC	US	OS	TR-1022
1974-102 	1974 Dec 21 0219:59	1974-102A	P           	Molniya-2	Molniya-2 No. 20L	S07583	GUKOSR	SU	Molniya 8K78M	78033  -530	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-103 	1974 Dec 24 1100:00	1974-103A	P           	Kosmos-699	US-P No. 110	S07587	ARSL	SU	Tsiklon-2	67014-21L	-	NIIP-5	LC90/20	-	-	RVSN	SU	OS	AK15/RAEX
1974-104 	1974 Dec 26 0415:00	1974-104A	PP H M      	Salyut-4	DOS-4	S07591	NPOE	SU	Proton-K	284-02	-	NIIP-5	LC81/24	-	-	RVSN	SU	OS	NK9810-25
1974-105 	1974 Dec 26 1159:59	1974-105A	P           	Kosmos-700	Tsiklon-B No. 11L	S07593	OKB10	SU	Kosmos 11K65M	53731-270	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1974-106 	1974 Dec 27 0910:00	1974-106A	P           	Kosmos-701	Germes No. 39L	S07596	GUKOSR	SU	Voskhod 11A57	76043  -738	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-001 	1975 Jan 10 2143:37	1975-001A	PH H V      	Soyuz-17	Soyuz 7K-T No. 38	S07604	NPOE	SU	Soyuz 11A511	Kh15000-022	-	NIIP-5	LC1	-	-	RVSN	SU	OS	NK0204-71
1975-002 	1975 Jan 17 0900:00	1975-002A	P           	Kosmos-702	Gektor No. 13L	S07606	GUKOSR	SU	Voskhod 11A57	Kh76001- 33	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAE
1975-003 	1975 Jan 21 1104:57	1975-003A	P           	Kosmos-703	DS-P1-Yu No. 70L	S07611	PVO	SU	Kosmos 11K63	45753-167	-	NIIP-53	LC133/3	-	-	RVSN	SU	OS	AVMDS
1975-004 	1975 Jan 22 1755:52	1975-004A	P           	Landsat 2	Landsat B	S07615	GSFC	US	Delta 2910	598/D107	-	V	SLC2W	-	-	GSFC	US	OS	TR-1022
1975-005 	1975 Jan 23 1100	1975-005A	P           	Kosmos-704	Germes No. 36L	S07617	GUKOSR	SU	Voskhod 11A57	78031  -775	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-006 	1975 Jan 28 1205:01	1975-006A	P           	Kosmos-705	DS-P1-Yu No. 75L	S07623	PVO	SU	Kosmos 11K63	64643-171	-	NIIP-53	LC133/3	-	-	RVSN	SU	OS	AVMDS
1975-007 	1975 Jan 30 1502	1975-007A	P           	Kosmos-706	US-K 5V95 No. 2004	S07625	PVO	SU	Molniya 8K78M	78031  -574	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	NK9715-48
1975-008 	1975 Feb  5 1315	1975-008A	P           	Kosmos-707	Tselina-OM	S07637	GRU	SU	Kosmos 11K65M	53753-212	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-009 	1975 Feb  6 0449	1975-009A	P           	Molniya-2	Molniya-2 No. 22L	S07641	GUKOSR	SU	Molniya 8K78M	76043  -532	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-010 	1975 Feb  6 1635	1975-010A	P           	Starlette	Starlette	S07646	CNES	F	Diamant BP.4	No. 1	-	CSG	Diamant	-	-	CNES	F	OS	JCM
1975-011 	1975 Feb  6 2204:00	1975-011A	P           	SMS 2	SMS B	S07648	GSFC	US	Delta 2914	593/D108	-	CC	LC17B	-	-	GSFC	US	OS	TR-1022
1975-012 	1975 Feb 12 0330	1975-012A	P           	Kosmos-708	Geoid	S07663	VTS	SU	Kosmos 11K65M	53749-166	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-013 	1975 Feb 12 1430	1975-013A	P           	Kosmos-709	Germes No. 37L	S07664	GUKOSR	SU	Voskhod 11A57	78031  -777? (177)	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-F01  	1975 Feb 20 2335:00	1975-F01	P   F       	INTELSAT IV F6	INTELSAT IV F6	F00731	INTEL	I-INT	Atlas SLV-3D Centaur	AC-33	-	CC	LC36A	-	-	LERC	US	OF	TR-1022
1975-014 	1975 Feb 24 0525	1975-014A	P           	Taiyo	SRATS	S07671	ISAS	J	Mu-3C	M-3C-2	-	KASC	M	-	-	ISAS	J	OS	ISRJ29.3.99
1975-015 	1975 Feb 26 0900:00	1975-015A	P           	Kosmos-710	Germes No. 38L	S07675	GUKOSR	SU	Voskhod 11A57	78031  -778	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-016 	1975 Feb 28 1401:59	1975-016A	P           	Kosmos-711	Strela-1M Blok 11 No. 1	S07678	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016B	P           	Kosmos-712	Strela-1M Blok 11 No. 2	S07679	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016C	P           	Kosmos-713	Strela-1M Blok 11 No. 3	S07680	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016D	P           	Kosmos-714	Strela-1M Blok 11 No. 4	S07681	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016E	P           	Kosmos-715	Strela-1M Blok 11 No. 5	S07682	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016F	P           	Kosmos-716	Strela-1M Blok 11 No. 6	S07683	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016G	P           	Kosmos-717	Strela-1M Blok 11 No. 7	S07684	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-016 	1975 Feb 28 1401:59	1975-016H	P           	Kosmos-718	Strela-1M Blok 11 No. 8	S07685	GUKOSR	SU	Kosmos 11K65M	53749-157	-	NIIP-53	LC132/2	-	-	RVSN	SU	OS	AK15,corrected
1975-017 	1975 Mar 10 0441	1975-017A	P       C   	OPS 2439	JUMPSEAT 4	S07687	NRO/SAFSP	US	Titan 34B	34B-1 (3B-50)	-	VS	SLC4W	-	-	SAMSO	US	OS	JCM
1975-018 	1975 Mar 12 0855:00	1975-018A	P           	Kosmos-719	Germes No. 40L	S07691	GUKOSR	SU	Voskhod 11A57	77019  -750	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-019 	1975 Mar 21 0650	1975-019A	P           	Kosmos-720	Orion No. 10L	S07696	TSSKB	SU	Soyuz-U	76041  -851	-	NIIP-53	LC43/3	-	-	RVSN	SU	OS	AK15/TLE
1975-020 	1975 Mar 26 0850	1975-020A	P           	Kosmos-721	Gektor No. 59L	S07705	GUKOSR	SU	Voskhod 11A57	76041  -199	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-020 	1975 Mar 26 0850	1975-020F	PX-S---     	Kapsula Kosmosa-721	Nauka 5KSA No. 2	S07721	TSSKB	SU	Voskhod 11A57	76041  -199	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-021 	1975 Mar 27 0800:00	1975-021A	P           	Kosmos-722	Germes No. 41L	S07709	GUKOSR	SU	Voskhod 11A57	78031  -781	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-022 	1975 Mar 27 1430	1975-022A	P           	Interkosmos-13	DS-U2-IK No. 5 (Mag)	S07710	IK	SU	Kosmos 11K65M	53721-268	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AVMDS
1975-023 	1975 Apr  1 1230:00	1975-023A	P           	Meteor	Meteor (M) No. 31L	S07714	GUKOSR/GMS	SU	Vostok 8A92M	76041  -366	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	PL-WWW
1975-024 	1975 Apr  2 1100:00	1975-024A	P  N        	Kosmos-723	US-A No. 318 ROCh	S07718	VMF	SU	Tsiklon-2	67049-158	-	NIIP-5	LC90/20	-	-	RVSN	SU	OS	AK15/RAEX
1975-F02  	1975 Apr  5 1104:54	1975-F02	PH HF       	[Soyuz-18]	Soyuz 7K-T No. 39	F00734	NPOE	SU	Soyuz 11A511	Kh15000-023	-	NIIP-5	LC1	-	-	RVSN	SU	OF	NK0204-71
1975-025 	1975 Apr  7 1100:00	1975-025A	P  N        	Kosmos-724	US-A No. 321 ROCh	S07727	VMF	SU	Tsiklon-2	45023-413-02	-	NIIP-5	LC90/20	-	-	RVSN	SU	OS	AK15/RAEX
1975-026 	1975 Apr  8 1829:56	1975-026A	P           	Kosmos-725	DS-P1-Yu No. 77L	S07730	PVO	SU	Kosmos 11K63	64643-172	-	NIIP-53	LC133/3	-	-	RVSN	SU	OS	AVMDS
1975-027 	1975 Apr  9 2358:02	1975-027A	P           	Geos 3	Geos C	S07734	WFC	US	Delta 1410	584/D109	-	V	SLC2W	-	-	GSFC	US	OS	LR750410
1975-028 	1975 Apr 11 0757:14	1975-028A	P           	Kosmos-726	Tsiklon-B	S07736	OKB10	SU	Kosmos 11K65M	65033-203	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-F03  	1975 Apr 13 0051	1975-F03	P   F       	P72-2	STP P72-2	F00738	STP	US	Atlas F	71F	-	VS	SLC3W	-	-	SAMSO	US	OF	JG9602
1975-029 	1975 Apr 14 1752:59	1975-029A	P           	Molniya-3	Molniya-3 No. 12L	S07738	OKB10/MSVYAZ	SU	Molniya 8K78M	76043  -531	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	NK9815-26
1975-030 	1975 Apr 16 0800:01	1975-030A	P           	Kosmos-727	Germes No. 54L	S07742	GUKOSR	SU	Soyuz-U	76041  -849	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-031 	1975 Apr 18 1000	1975-031A	P           	Kosmos-728	Gektor No. 62L	S07745	GUKOSR	SU	Voskhod 11A57	77016  -212	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-031 	1975 Apr 18 1000	1975-031G	PX-S---     	Kapsula Kosmosa-728	Nauka 15KS No. 1L	S07779	TSSKB	SU	Voskhod 11A57	77016  -212	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-032 	1975 Apr 18 1645?	1975-032A	P A         	OPS 4883	GAMBIT-3 FM-44	S07747	NRO/SAFSP	US	Titan 24B	24B-14 (3B-48)	-	VS	SLC4W	-	-	SAMSO	US	OS	TLE
1975-032 	1975 Apr 18 1645?	1975-032	PX-RT--     	SRV Mission 4344-1	SRV-1	A02542	NRO/SAFSP	US	Titan 24B	24B-14 (3B-48)	-	VS	SLC4W	-	-	SAMSO	US	OS	TLE
1975-032 	1975 Apr 18 1645?	1975-032	PX-RT--     	SRV Mission 4344-2	SRV-2	A02557	NRO/SAFSP	US	Titan 24B	24B-14 (3B-48)	-	VS	SLC4W	-	-	SAMSO	US	OS	TLE
1975-033 	1975 Apr 19 0758:55	1975-033A	P           	Aryabhata	ISS	S07752	ISRO	IN	Kosmos 11K65M	53731-279	-	GTsP-4	LC107/2	-	-	RVSN	SU	OS	BASI3,75
1975-034 	1975 Apr 22 2110:37	1975-034A	P           	Kosmos-729	Zaliv No. 8	S07768	VMF	SU	Kosmos 11K65M	53731-274	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-035 	1975 Apr 24 0804:59	1975-035A	P           	Kosmos-730	Germes No. 48L	S07770	GUKOSR	SU	Voskhod 11A57	76041  -788	-	NIIP-53	LC43/3	-	-	RVSN	SU	OS	AK15/RAEX
1975-036 	1975 Apr 29 1023:59	1975-036A	P           	Molniya-1	Molniya-1 No. 35L	S07780	GUKOSR	SU	Molniya 8K78M	M 15000-064	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-037 	1975 May  7 2245:01	1975-037A	P           	SAS 3	SAS C	S07788	GSFC	US	Scout F-1	S194C	-	SMLC	-	-	-	CRA	I	OS	LAAFB
1975-038 	1975 May  7 2335:26	1975-038A	P           	Anik A3	Anik A3	S07790	TCAN	CA	Delta 2914	596/D110	-	CC	LC17B	-	-	GSFC	US	OS	TR-1022
1975-039 	1975 May 17 1032	1975-039A	P           	Pollux	D-5A	S07801	CNES	F	Diamant BP.4	No. 2	-	CSG	Diamant	-	-	CNES	F	OS	Falworth
1975-039 	1975 May 17 1032	1975-039B	P           	Castor	D-5B	S07802	CNES	F	Diamant BP.4	No. 2	-	CSG	Diamant	-	-	CNES	F	OS	Falworth
1975-040 	1975 May 20 1403:48	1975-040A	P           	DSCS II F-5	DSCS II B-5	S07807	SAMSO/DCA	US	Titan IIIC	23C-7 (3C-25)	-	CC	LC40	-	-	SAMSO	US	OS	AFT3
1975-040 	1975 May 20 1403:48	1975-040B	P           	DSCS II F-6	DSCS II B-6	S07808	SAMSO/DCA	US	Titan IIIC	23C-7 (3C-25)	-	CC	LC40	-	-	SAMSO	US	OS	AFT3
1975-041 	1975 May 21 0659:32	1975-041A	P           	Kosmos-731	Gektor No. 55L	S07810	GUKOSR	SU	Voskhod 11A57	78031  -195	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-041 	1975 May 21 0659:32	1975-041H	PX-S---     	Kapsula Kosmosa-731	Nauka 9KS No. 2L	S07885	TSSKB	SU	Voskhod 11A57	78031  -195	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-042 	1975 May 22 2204:00	1975-042A	P      G    	INTELSAT IV F1	INTELSAT IV F1	S07815	INTEL	I-INT	Atlas SLV-3D Centaur	AC-35	-	CC	LC36A	-	-	LERC	US	OS	TR-1022
1975-043 	1975 May 24 0322:41	1975-043A	P           	DMSP 10533	DMSP Block 5C F-2	S07816	SAMSO	US	Thor Burner 2A	197/BIIA-24	-	V	SLC10W	-	-	10ADS	US	OS	SAC7383
1975-044 	1975 May 24 1458:10	1975-044A	PH H V      	Soyuz-18	Soyuz 7K-T No. 40	S07818	NPOE	SU	Soyuz 11A511	F 15000-033	-	NIIP-5	LC1	-	-	RVSN	SU	OS	NK0204-71
1975-045 	1975 May 28 0025:01	1975-045A	P           	Kosmos-732	Strela-1M Blok 12 No. 1	S07820	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045B	P           	Kosmos-733	Strela-1M Blok 12 No. 2	S07822	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045C	P           	Kosmos-734	Strela-1M Blok 12 No. 3	S07823	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045D	P           	Kosmos-735	Strela-1M Blok 12 No. 4	S07824	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045E	P           	Kosmos-736	Strela-1M Blok 12 No. 5	S07825	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045F	P           	Kosmos-737	Strela-1M Blok 12 No. 6	S07826	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045G	P           	Kosmos-738	Strela-1M Blok 12 No. 7	S07827	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-045 	1975 May 28 0025:01	1975-045H	P           	Kosmos-739	Strela-1M Blok 12 No. 8	S07828	GUKOSR	SU	Kosmos 11K65M	53731-272	-	NIIP-53	LC132/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-046 	1975 May 28 0729:59	1975-046A	P           	Kosmos-740	Germes No. 55L	S07821	GUKOSR	SU	Voskhod 11A57	77016  -655	-	NIIP-5	LC31	-	-	RVSN	SU	OS	AK15/RAEX
1975-047 	1975 May 30 0645	1975-047A	P           	Kosmos-741	Gektor-Priroda No. 65L	S07877	PRIR	SU	Voskhod 11A57	77016  -215	-	NIIP-53	LC43/3	-	-	RVSN	SU	OS	NK96-26-40
1975-F04  	1975 Jun  3 0900	1975-F04	P   F       	[Interkosmos-14]	DS-U3-IK-5 No. 5	F00740	IK	SU	Kosmos 11K65M	53721-257	-	GTsP-4	LC107/2	-	-	RVSN	SU	OF	AVMDS
1975-048 	1975 Jun  3 1320:48	1975-048A	P           	Kosmos-742	Germes No. 26L	S07900	GUKOSR	SU	Voskhod 11A57	76029  -756	-	NIIP-53	LC43/3	-	-	RVSN	SU	OS	AK15/RAEX
1975-049 	1975 Jun  5 0137:59	1975-049A	P           	Molniya-1	Molniya-1M No. 37L	S07903	GUKOSR	SU	Molniya 8K78M	76041  -579	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-049 	1975 Jun  5 0137:59	1975-049B	P           	SRET 2	SRET-2	S07910	CNES	F	Molniya 8K78M	76041  -579	-	NIIP-53	LC41/1	-	-	RVSN	SU	OS	AK15/RAEX
1975-050 	1975 Jun  8 0238:00	1975-050A	P   D       	Venera-9	4V-1 No. 660	S07915	IKI/BABTS	SU	Proton-K/D	286-01	-	NIIP-5	LC81/24	-	-	RVSN	SU	DS	NK9810-25
1975-050 	1975 Jun  8 0238:00	1975-050D	PX-SD--     	SA Veneri-9	SA	S08411	IKI/BABTS	SU	Proton-K/D	286-01	-	NIIP-5	LC81/24	-	-	RVSN	SU	DS	NK9810-25
1975-051 	1975 Jun  8 1830	1975-051A	P           	OPS 6381	HEXAGON SV-10	S07918	NRO/SAFSP	US	Titan IIID	23D-10	-	VS	SLC4E	-	-	SAMSO	US	OS	LR750609
